longitude,latitude,alignment
-105.074287,39.930782,democrat
-106.300025,38.734599,republican
-102.601791,38.835646,republican
-105.670783,39.689403,democrat
-106.02648,37.101134,republican
-105.42894,37.277547,democrat
-103.861345,38.194886,republican
-105.373512,38.101996,republican
-108.06896,38.74221,republican
-104.996553,39.760189,democrat
-108.35245,37.469333,republican
-104.925987,39.325414,republican
-106.805111,39.607401,democrat
-104.505121,39.208967,republican
-104.895727,38.859742,republican
-105.4328622,38.4692006,republican
-107.90978,39.599352,republican
-105.528878,39.861156,democrat
-105.649921,39.423128,republican
-107.037294,38.528323,democrat
-107.383974,37.811519,republican
-104.959928,37.687815,republican
-106.329248,40.663432,republican
-105.686535,39.27593,democrat
-104.421214,39.370254,republican
-102.78937,38.76111,republican
-106.350079,39.205341,democrat
-107.8539029,37.2889732,democrat
-105.486764,40.658093,democrat
-103.088444,37.923031,republican
-103.507555,38.99374,republican
-103.090464,40.728091,republican
-108.169723,39.14932,republican
-107.003236,37.549067,republican
-105.817955,38.065284,republican
-105.867234,39.581098,republican
-107.770845,38.484148,republican
-106.020025,37.327785,republican
-103.72126,37.88417,republican
-107.67145,38.02277,democrat
-105.717648,39.118914,republican
-102.345105,40.594712,republican
-106.5167,38.60916,democrat
-102.767697,38.081952,republican
-104.536493,38.293234,republican
-108.113722,39.751037,republican
-106.453128,37.485853,republican
-106.987702,40.483664,democrat
-106.351826,38.181206,democrat
-104.755547,37.125298,democrat
-108.289489,38.128226,democrat
-102.52547,40.93638,republican
-106.137555,39.621023,democrat
-105.187365,38.869976,republican
-103.209745,39.96579,republican
-105.017756,40.327762,republican
-102.618522,40.061817,republican
-73.282408,41.175173,democrat
-72.718832,41.791776,democrat
-73.259781,41.7587013,republican
-76.528082,37.606975,democrat
-72.907891,41.4068579,democrat
-72.09952,41.35565,democrat
-72.361039,41.882553,democrat
-72.137843,41.693914,republican
-75.502982,39.097088,republican
-75.651466,39.592895,democrat
-75.337024,38.673228,republican
-77.016517,38.904247,democrat
-82.472049,29.813456,democrat
-86.674139,30.85525,republican
-85.534395,30.15914,republican
-85.551596,30.655193,republican
-80.700333,28.298311,republican
